t,KE,vx
2.033334,6.53087997e+00,3.61410570e+00
2.037500,6.50369596e+00,3.60657620e+00
2.041667,6.47662544e+00,3.59906244e+00
2.045833,6.44966650e+00,3.59156418e+00
2.050000,6.42282057e+00,3.58408165e+00
2.054167,6.39608622e+00,3.57661462e+00
2.058333,6.36946344e+00,3.56916332e+00
2.062500,6.34295130e+00,3.56172752e+00
2.066667,6.31654978e+00,3.55430722e+00
2.070833,6.29025841e+00,3.54690242e+00
2.075000,6.26407576e+00,3.53951287e+00
2.079167,6.23800230e+00,3.53213882e+00
2.083333,6.21203709e+00,3.52478004e+00
2.087500,6.18618059e+00,3.51743674e+00
2.091667,6.16043139e+00,3.51010871e+00
2.095834,6.13478947e+00,3.50279593e+00
2.100000,6.10925436e+00,3.49549842e+00
2.104167,6.08382511e+00,3.48821592e+00
2.108333,6.05850172e+00,3.48094869e+00
2.112500,6.03328419e+00,3.47369671e+00
2.116667,6.00817156e+00,3.46645975e+00
2.120833,5.98316336e+00,3.45923781e+00
2.125000,5.95825863e+00,3.45203090e+00
2.129167,5.93345785e+00,3.44483900e+00
2.133333,5.90876055e+00,3.43766212e+00
2.137500,5.88416624e+00,3.43050027e+00
2.141667,5.85967350e+00,3.42335320e+00
2.145833,5.83528328e+00,3.41622114e+00
2.150000,5.81099463e+00,3.40910387e+00
2.154167,5.78680658e+00,3.40200138e+00
2.158334,5.76271963e+00,3.39491367e+00
2.162500,5.73873234e+00,3.38784075e+00
2.166667,5.71484566e+00,3.38078260e+00
2.170833,5.69105816e+00,3.37373924e+00
2.175000,5.66736937e+00,3.36671042e+00
2.179167,5.64377975e+00,3.35969639e+00
2.183333,5.62028837e+00,3.35269690e+00
2.187500,5.59689426e+00,3.34571195e+00
2.191667,5.57359743e+00,3.33874154e+00
2.195833,5.55039787e+00,3.33178568e+00
2.200000,5.52729511e+00,3.32484436e+00
2.204167,5.50428867e+00,3.31791759e+00
2.208333,5.48137760e+00,3.31100512e+00
2.212500,5.45856237e+00,3.30410719e+00
2.216667,5.43584156e+00,3.29722357e+00
2.220834,5.41321564e+00,3.29035425e+00
2.225000,5.39068365e+00,3.28349924e+00
2.229167,5.36824560e+00,3.27665854e+00
2.233333,5.34590101e+00,3.26983213e+00
2.237500,5.32364893e+00,3.26301980e+00
2.241667,5.30149031e+00,3.25622177e+00
2.245833,5.27942324e+00,3.24943781e+00
2.250000,5.25744820e+00,3.24266815e+00
2.254167,5.23556519e+00,3.23591256e+00
2.258333,5.21377277e+00,3.22917104e+00
2.262500,5.19207144e+00,3.22244358e+00
2.266667,5.17045975e+00,3.21572995e+00
2.270833,5.14893818e+00,3.20903039e+00
2.275000,5.12750626e+00,3.20234489e+00
2.279167,5.10616350e+00,3.19567323e+00
2.283334,5.08490944e+00,3.18901539e+00
2.287500,5.06374454e+00,3.18237162e+00
2.291667,5.04266739e+00,3.17574167e+00
